gene,logFC,AveExpr,P.Value,adj.P.Val,B
Aspg,-2.053365141318465,1.2444893808774276,1.644211970930625e-09,1.5438819352881075e-07,0.0
Pla2r1,4.6911035739008895,2.746105173155266,1.6457332593827757e-09,1.5438819352881075e-07,0.0
Cacna1d,4.607067831134325,3.5974591543041097,1.6661808032979674e-09,1.5522094080723773e-07,0.0
Dchs1,4.971196329371279,3.210648328947292,1.7224622439295719e-09,1.5826596576928223e-07,0.0
Wdr72,-2.7666724210899454,1.6289249346077745,1.8713869688656724e-09,1.7077997406348976e-07,0.0
Sdr42e1,-2.7173368379663714,2.5489847263889676,2.0321035062234405e-09,1.8419370632423956e-07,0.0
Trabd2b,5.349086063846472,3.6859208560959593,2.0495703127560764e-09,1.8453010567532056e-07,0.0
Nkx3-1,1.473707525059309,0.810673867935307,2.082005605657921e-09,1.862007013326734e-07,0.0
Arhgap9,-1.9318726686901195,1.1805158729541263,2.1092328355397644e-09,1.8738648005805257e-07,0.0
Znrf2,-1.3788072612269469,4.719171969518585,2.1593541759550657e-09,1.9057721230550795e-07,0.0
Reln,7.068566580681747,4.416371090345781,2.2586723125326973e-09,1.9803979786030153e-07,0.0
Ptpre,3.1046120224207323,5.383319179083824,2.4037662760372174e-09,2.0804209414864047e-07,0.0
Ccdc149,-2.8803808695343633,2.1768441581640356,2.400162126317463e-09,2.0804209414864047e-07,0.0
Acta2,9.159947020188094,8.95247019785459,2.6751094116373775e-09,2.3004226126356037e-07,0.0
Prkar1b,3.8271320571767733,3.0517503136579354,2.7074620875778023e-09,2.31341426145581e-07,0.0
Plod2,4.304587211523344,3.1325713109366706,2.7590124090058614e-09,2.342541232076812e-07,0.0
Rnf150,4.9715608106130595,3.2752688160754815,2.864935450974966e-09,2.4171766713729036e-07,0.0
Marveld3,-3.078797270314935,3.700953198983053,2.9524519837262938e-09,2.4754464601055146e-07,0.0
Myl9,8.393867830829553,6.518511985266895,3.200104256412825e-09,2.6641845049753954e-07,0.0
Ptpn18,-4.3513485704336485,3.5746411629226547,3.2172783436900047e-09,2.6641845049753954e-07,0.0
Tbx2,4.652950339824151,3.182763852571142,3.2499388700411714e-09,2.67471962831916e-07,0.0
Slc2a4,5.627421980985917,3.888852579250335,3.3056085970294684e-09,2.6875599593424437e-07,0.0
Wif1,7.24874518908873,4.121572565450201,3.2895927293858986e-09,2.6875599593424437e-07,0.0
Ntng2,4.537871095132477,2.3638902694816455,3.35285611118955e-09,2.709552092265531e-07,0.0
Cpa6,2.2156473322784644,1.1078236661392322,3.441344645188786e-09,2.747954667571879e-07,0.0
Eml1,4.680670901028595,3.5591742057632847,3.4212495838088298e-09,2.747954667571879e-07,0.0
Neurl2,2.097392142875738,1.4653586882593927,3.521136655595164e-09,2.7916982247359054e-07,0.0
Inpp5j,-2.380372890562577,2.1185076077299394,3.537746538986984e-09,2.7916982247359054e-07,0.0
Tspan14,-1.6948150603243342,6.148821943002755,3.6075207343175835e-09,2.830110564378385e-07,0.0
Myh11,8.988891342456514,8.368277842714987,3.666507783854851e-09,2.841474003651795e-07,0.0
Pard6g,2.554121422274392,4.90962018527252,3.666403991162031e-09,2.841474003651795e-07,0.0
Bgn,6.370689457237873,5.347192553569829,3.685549583566249e-09,2.841474003651795e-07,0.0
Mark1,5.465876133311567,3.5899557154929695,3.731967567445867e-09,2.855871829340696e-07,0.0
Adgrb2,4.251318529522115,2.522014432481157,3.776457621237038e-09,2.8622135021974497e-07,0.0
Chsy1,2.9271375298437916,4.025902809144337,3.856009407416919e-09,2.8949356662191557e-07,0.0
Cracdl,-4.169620383717909,3.079381182101518,3.862791533754967e-09,2.8949356662191557e-07,0.0
Fbn1,6.3798756452239616,5.226954418214967,4.300572435182698e-09,3.2051210676653275e-07,0.0
BC034090,3.629078050267504,2.6963873526251607,4.333049977558632e-09,3.2114842789474615e-07,0.0
Mn1,3.5135892558757775,2.3357586845945395,4.3722097803680875e-09,3.222702978221862e-07,0.0
Gm5553,-1.6970361375857643,1.1750014126888144,4.557652618584234e-09,3.34103332668347e-07,0.0
Lyrm9,-2.5587036784372357,1.799856679051077,4.637438024664881e-09,3.381045168526053e-07,0.0
Tgfb1i1,6.750722851173781,4.411268776411752,4.736852491521673e-09,3.43485817155477e-07,0.0
Luzp2,5.2927277067903304,2.878158430852197,4.864812490247043e-09,3.508680621326026e-07,0.0
Serpina3m,4.872561071951882,3.0226213961905652,4.8985013334388e-09,3.514085314870669e-07,0.0
Yipf6,-1.3844400569852766,5.244386458056012,4.953924175826057e-09,3.5349411073780085e-07,0.0
Iffo1,1.7207298332640026,1.0585589937683515,4.996534793869845e-09,3.546482235966348e-07,0.0
Ppp1r18os,2.3122193116339127,1.5196906785563715,5.166340918807933e-09,3.628610650565886e-07,0.0
Rnase4,6.006692528916743,4.619525793785535,5.353060627689412e-09,3.740172308356951e-07,0.0
Smim22,-3.808327053856612,2.495025313093578,5.433895247900725e-09,3.776979520755867e-07,0.0
Eln,6.223295405218135,6.172438618493551,5.467182787230217e-09,3.780528716015122e-07,0.0
Nipal4,5.019073127702526,2.7425393159326568,5.724128600912704e-09,3.9178155704716286e-07,0.0
Selenom,5.705000279162489,3.8359042146331617,5.7217892307504e-09,3.9178155704716286e-07,0.0
Rbpms2,3.261959162970255,2.0367281218771582,5.786713126878683e-09,3.9405460201562196e-07,0.0
Rtl8c,2.7790022790754447,1.807144003739955,5.863510841239497e-09,3.972676663395346e-07,0.0
Ndn,2.676953082736483,1.5382734617846519,5.9444546858690465e-09,3.9872429805466633e-07,0.0
Gde1,-2.529329159718144,6.708016845965358,5.939310647454098e-09,3.9872429805466633e-07,0.0
Sgsm3,-2.809213340742194,4.372020482376082,6.3399862693155886e-09,4.231388845913862e-07,0.0
Lancl3,2.79906410702141,1.7455720731215998,6.490838765659265e-09,4.3106238634316356e-07,0.0
Sostdc1,5.236541076514428,2.9333693103409,6.729635517129247e-09,4.4471950966644753e-07,0.0
Lrrk2,4.075634880506123,2.428600932589415,6.838073415690955e-09,4.4967036701712826e-07,0.0
Azin1,1.5742650109645817,8.315457375066265,6.974501503173481e-09,4.564045739759622e-07,0.0
Arhgap24,5.077050937052748,2.83145240595158,7.171305115485467e-09,4.628536822932497e-07,0.0
Sptbn4,3.1795098322551874,2.022982188964074,7.126478967052937e-09,4.628536822932497e-07,0.0
Mylk,8.42808386587318,6.949404613164206,7.1945395005980455e-09,4.628536822932497e-07,0.0
Arhgap25,2.164687595786991,1.3333793677178623,7.211063704755065e-09,4.628536822932497e-07,0.0
Igfbp3,7.1022727674337665,5.375748239914909,7.347952590398448e-09,4.6939420952473894e-07,0.0
Rian,2.538372910670882,1.7674741810195316,7.585109073963942e-09,4.822475745366175e-07,0.0
Gas1,6.775816584504682,5.401590705605064,7.758843874331449e-09,4.865724903447893e-07,0.0
Cmtm8,-3.5507982680604986,3.2728994598614545,7.798217325689877e-09,4.865724903447893e-07,0.0
Nwd1,1.1525971725323043,0.6373145885033823,7.777778761935262e-09,4.865724903447893e-07,0.0
Serpina3i,5.253559863507805,3.640893995685984,7.720831071183583e-09,4.865724903447893e-07,0.0
Mafa,3.1887386168513725,1.8004527677792865,8.037383048244165e-09,4.991735814453495e-07,0.0
Cspg4b,2.5307078159164034,3.868826769763142,8.294393126313903e-09,5.127616764493134e-07,0.0
Col4a2,6.761981229929476,7.6421173361990915,8.523461397940621e-09,5.245056635475845e-07,0.0
